                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.5395,                 1.1814,                 1.7655,                0.93118,                0.61765,                0.77919,                0.47262,                 1.4727,                   1.27,                 1.5466,              0.0014852,              0.0014852,              0.0014852
                     80,                   1.56,                 1.1942,                 1.8085,                0.68201,                0.61765,                0.65984,                0.38458,                 1.6561,                 1.8643,                  1.718,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.4991,                 1.1804,                 1.7947,                0.96423,                0.61765,                0.68318,                0.44729,                  1.557,                 1.8292,                 1.6728,               0.001472,               0.001472,               0.001472
                     82,                 1.4983,                 1.1898,                 1.7567,                 0.9942,                0.61765,                0.66561,                0.46297,                  1.488,                 1.8124,                 1.6844,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.5085,                 1.1711,                 1.7673,                0.97821,                0.61765,                0.75081,                0.49045,                 1.5791,                  1.354,                 1.6279,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.5137,                 1.1665,                 1.7713,                 0.7849,                0.61765,                 0.7602,                0.48313,                 1.4575,                  1.257,                 1.4498,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.4844,                 1.1262,                 1.7612,                0.84546,                0.61765,                0.78161,                0.50185,                 1.4064,                 1.2218,                  1.488,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.5316,                 1.1544,                 1.7991,                0.91086,                0.61765,                0.66935,                0.35717,                 1.6784,                  1.679,                 1.6021,               0.001439,               0.001439,               0.001439
                     87,                 1.5117,                 1.1335,                 1.7734,                0.76199,                0.61765,                0.72437,                0.47661,                 1.3962,                 1.4619,                 1.5288,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.5433,                 1.1655,                 1.7932,                0.64944,                0.60294,                 0.6078,                0.28545,                 1.8351,                 1.9193,                 1.7683,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.4922,                 1.1898,                 1.7806,                 0.9446,                0.61765,                0.80601,                0.49517,                 1.5277,                 1.1873,                 1.4941,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.4824,                 1.1581,                 1.7552,                0.98199,                0.61765,                0.85724,                0.53917,                 1.4475,                 1.0954,                 1.4278,              0.0014126,              0.0014126,              0.0014126
                     91,                  1.489,                 1.1468,                 1.7699,                0.63801,                0.80882,                0.82327,                0.49966,                 1.4402,                 1.0244,                 1.4404,               0.001406,               0.001406,               0.001406
                     92,                 1.4849,                 1.1613,                 1.7393,                0.84677,                0.58824,                0.71715,                0.49076,                 1.4873,                 1.3842,                 1.5281,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.5049,                 1.1349,                 1.7721,                0.80295,                0.61765,                0.68175,                0.43818,                  1.572,                 1.7473,                 1.5807,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.4882,                 1.1171,                 1.7528,                0.81725,                0.63235,                 0.7424,                0.42835,                 1.5912,                  1.613,                 1.6053,              0.0013862,              0.0013862,              0.0013862
                     95,                  1.467,                 1.1001,                 1.7133,                0.87437,                0.61765,                0.75432,                0.38623,                  1.658,                 1.4756,                  1.592,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.4674,                 1.1285,                 1.7342,                0.96271,                0.61765,                0.75097,                0.46204,                   1.52,                 1.3678,                 1.5138,               0.001373,               0.001373,               0.001373
                     97,                 1.4651,                 1.1114,                 1.7261,                0.69659,                0.61765,                0.75787,                0.48226,                 1.3893,                 1.2334,                 1.4562,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.4533,                  1.084,                 1.7104,                0.78796,                0.61765,                0.72876,                0.46517,                 1.4567,                 1.3969,                 1.5343,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.4374,                 1.1142,                 1.7228,                0.98642,                0.61765,                0.72853,                0.44166,                   1.55,                 1.3755,                  1.561,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.4848,                 1.1557,                 1.7178,                0.97215,                0.61765,                0.73936,                0.45608,                 1.5431,                 1.3968,                  1.575,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.4681,                 1.1536,                 1.7174,                0.98537,                0.61765,                0.70315,                0.44639,                 1.4356,                 1.5043,                  1.519,                0.00134,                0.00134,                0.00134
                    102,                 1.4228,                 1.1036,                 1.6971,                0.97321,                0.61765,                0.71679,                0.48451,                 1.4203,                 1.5316,                 1.5589,              0.0013334,              0.0013334,              0.0013334
                    103,                  1.418,                 1.0401,                 1.6883,                0.90937,                0.61765,                0.70791,                  0.387,                 1.6438,                 1.5287,                 1.6317,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.4735,                 1.1237,                 1.7225,                0.91149,                0.61765,                0.72277,                 0.4504,                 1.4972,                 1.4071,                 1.5144,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.4262,                 1.1154,                 1.6968,                0.97686,                0.61765,                0.74226,                0.43676,                 1.4598,                  1.263,                 1.4881,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.4921,                 1.1109,                 1.7365,                0.87383,                0.61117,                0.71849,                0.45019,                 1.4341,                   1.47,                 1.4916,               0.001307,               0.001307,               0.001307
                    107,                 1.4382,                 1.0904,                 1.6871,                0.76801,                0.61765,                0.74343,                0.48274,                 1.3271,                 1.2111,                 1.4305,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.4284,                 1.1018,                  1.724,                0.97622,                 0.6036,                0.72031,                0.42371,                 1.4696,                 1.4923,                 1.5437,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.4111,                 1.0986,                  1.683,                0.96639,                0.61765,                0.75732,                0.49871,                 1.3585,                 1.4102,                  1.489,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.4071,                 1.0953,                 1.6704,                0.75516,                0.60294,                0.73164,                0.45743,                 1.4008,                  1.504,                 1.4807,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.4652,                 1.0829,                 1.6909,                0.78951,                 0.6068,                0.74597,                 0.4974,                 1.3411,                 1.2752,                 1.4155,               0.001274,               0.001274,               0.001274
                    112,                 1.4318,                 1.0863,                  1.656,                0.92571,                0.61765,                0.78711,                0.53499,                 1.4029,                 1.4479,                 1.4949,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.4053,                 1.0705,                 1.6658,                0.93282,                0.61765,                0.75616,                0.50878,                 1.3637,                 1.3169,                 1.4817,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.4212,                 1.0647,                  1.674,                0.77929,                0.61765,                0.76946,                0.52145,                 1.3412,                 1.2338,                 1.4526,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.4165,                 1.0723,                 1.6468,                0.83539,                0.60294,                0.67851,                0.50427,                 1.3325,                 1.6522,                 1.4436,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.4252,                 1.0477,                 1.6846,                0.91151,                0.61765,                 0.7523,                0.49521,                 1.3214,                 1.3963,                 1.4226,               0.001241,               0.001241,               0.001241
                    117,                 1.3929,                 1.0611,                 1.6667,                0.89909,                0.61765,                0.72508,                0.47269,                 1.3594,                 1.3307,                 1.4191,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.3872,                 1.0913,                 1.6614,                0.77343,                0.63235,                 0.7244,                0.49744,                 1.2781,                 1.3296,                 1.3898,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.4088,                 1.0757,                 1.6414,                0.93842,                0.63235,                0.72694,                0.42569,                 1.6583,                 1.5818,                  1.617,              0.0012212,              0.0012212,              0.0012212
